spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20189772,189772 (2002 CQ78),189772,5.127508550902453,0.02365899223893051,8.175049202697844,114.1386103430323,343.5392836992249,44.51095704082651,4240.899852070827,5.006196865891602,5.248820235913304,12.81,,,5.96,TJN,N,N
20189775,189775 (2002 CQ130),189775,5.166590942114793,0.04051099553487311,3.862372688945355,322.7167028878275,160.9659700624262,16.25387689604734,4289.47898239072,4.957287199528264,5.37589468470132,13.22,,,,TJN,N,N
20189859,189859 (2003 HB17),189859,5.249921560495436,0.0465709380220453,7.901307820047301,274.7707183146844,226.2788495254406,9.43116273643626,4393.672165122563,5.005427788881004,5.494415332109869,12.88,15.784,0.059,,TJN,N,N
20190005,190005 (2004 KQ17),190005,5.239504484883081,0.07233536248360321,18.74963074830727,264.689970784937,195.6792805339221,64.31688806529273,4380.601540284283,4.860503028734599,5.618505941031564,13.16,13.948,0.052,,TJN,N,N
20190229,190229 (2006 OO5),190229,5.222302144366798,0.01184240511380508,12.23604840450004,253.5267197496806,282.0270194361372,335.3076147169452,4359.045671881861,5.160457526746513,5.284146761987082,12.5,18.095,0.065,,TJN,N,N
20190264,190264 (2007 NE2),190264,5.261255381316224,0.111755784521036,13.13675429080001,175.5260935945126,220.5304054476599,104.337064208702,4407.907794838366,4.673279658611706,5.849231104020741,12.37,14.727,0.107,,TJN,N,N
20190267,190267 (2007 VL6),190267,5.18882394649128,0.06334823965473953,0.5179704505555672,206.1178714738908,190.3866082827242,89.46979893427475,4317.196638992681,4.860121083602699,5.517526809379861,13.51,,,,TJN,N,N
20190268,190268 (2007 XU3),190268,5.216977744818999,0.07574013578539349,18.54684571897623,164.2067395812333,195.0316997689747,157.4526807456775,4352.380972082349,4.821843142037032,5.612112347600966,12.58,18.473,0.057,,TJN,N,N
20190294,190294 (1995 QC6),190294,5.275819012808381,0.09968782039685992,13.42800512065255,146.6290230866955,296.2125043665434,52.87486853770516,4426.222686667306,4.7498841146132,5.801753911003562,12.77,12.022,0.102,,TJN,N,N
20190301,190301 (1996 RA14),190301,5.197174358639362,0.04541806946333859,7.467997276702667,105.5608993875934,174.4893829270551,222.8903867969672,4327.622374701334,4.961128732605597,5.433219984673127,12.97,,,,TJN,N,N
20190309,190309 (1997 SX13),190309,5.18196843902051,0.08223960603582578,4.633669258332796,102.150953592497,280.5446496250038,120.320979393501,4308.6436038058,4.75580539610538,5.608131481935639,12.76,13.862,0.084,,TJN,N,N
20190311,190311 (1997 TM2),190311,5.220366614115311,0.09137667906674073,4.191077667163427,123.5964401114183,349.5148970890452,32.35648441998621,4356.622521306297,4.743346849406568,5.697386378824054,12.88,14.485,0.064,,TJN,N,N
20190351,190351 (1998 XV1),190351,5.124900427890019,0.04947305351034229,6.151423587129969,147.8777536306194,216.7633703251702,148.4768641742581,4237.664543418721,4.87135595478584,5.378444900994197,12.98,10.901,0.094,,TJN,N,N
20190352,190352 (1998 XC23),190352,5.223439786660411,0.03507793457188595,6.119175988681083,296.1924556437295,241.071044942366,322.5940843563523,4360.470131241561,5.040212307583752,5.406667265737071,12.92,,,,TJN,N,N
20190353,190353 (1998 XK99),190353,5.164432867610235,0.07156217650213165,18.665871689239,196.2793727399878,232.9816030784608,85.4478527512396,4286.791703116912,4.794854811204901,5.534010924015568,12.62,13.098,0.086,,TJN,N,N
20190442,190442 (1999 XE225),190442,5.231417599662421,0.1492445118283298,0.8452728594826364,115.8144051620344,354.0978611941962,52.9085355922094,4370.463630542147,4.450657233830669,6.012177965494172,13.15,10.312,0.105,,TJN,N,N
20190446,190446 (2000 AL8),190446,5.17301863406529,0.1082800817789677,7.452540195869416,53.93445542959127,345.730013838146,100.6536442215703,4297.486203220745,4.612883753324576,5.733153514806004,12.44,,,,TJN,N,N
20190458,190458 (2000 BG40),190458,5.286924716063897,0.05582845832477771,4.557861698124732,230.5659065848969,97.16095205105847,162.6452456419487,4440.205968296264,4.991763859886887,5.582085572240907,12.79,,,,TJN,N,N
20190665,190665 (2000 YG98),190665,5.171246196223663,0.1622997797706416,4.184662618626044,153.4721464806051,311.2524688093345,30.82630270942138,4295.277712816761,4.331954077436794,6.010538315010532,12.83,,,,TJN,N,N
20190669,190669 (2000 YJ117),190669,5.216698694687419,0.03752830684435855,21.89717404593718,333.2570498964163,117.4982542515498,41.87648760445441,4352.0317709832,5.020924825358624,5.412472564016213,12.37,,,,TJN,N,N
20190674,190674 (2001 BZ18),190674,5.106738531930221,0.08369644177607209,5.290336634488483,328.3116541168146,85.52758098618274,99.81310180108542,4215.158019828562,4.679322687726899,5.534154376133543,12.72,,,,TJN,N,N
20190681,190681 (2001 CW23),190681,5.213295353059523,0.07297572109461951,7.441956541583844,321.1945921405355,156.3599101912747,28.05627480752764,4347.773608176147,4.832851365390775,5.593739340728271,12.86,,,,TJN,N,N
20190689,190689 (2001 DO93),190689,5.196438568337268,0.1546467854019523,20.14590383840605,293.1590603721983,157.4791179635051,54.67072406286514,4326.70338209581,4.392826048205187,6.000051088469351,12.71,,,,TJN,N,N
20191028,191028 (2002 AS168),191028,5.114522590457208,0.09183993766676388,20.0648204427285,309.7643550734764,145.36461045701,50.37413388419011,4224.799262448427,4.644805154554363,5.584240026360054,12.7,,,,TJN,N,N
20191054,191054 (2002 CZ80),191054,5.160681019031414,0.03073346118077846,3.185207994911103,338.6521330528531,84.58218416920434,69.98446077190609,4282.121159702479,5.002075429266632,5.319286608796196,12.74,,,,TJN,N,N
20191060,191060 (2002 CT111),191060,5.165076135134707,0.06577697792700239,5.238323303095814,120.1230151614835,354.4288691941679,26.73859511658344,4287.592654496481,4.825333036202665,5.504819234066749,12.78,,,,TJN,N,N
20191068,191068 (2002 CL149),191068,5.115641332992454,0.04558237575882416,3.749198998915249,33.83730601869132,96.81025279921369,8.799105364173164,4226.185527053623,4.88245824750462,5.348824418480288,13.15,,,,TJN,N,N
20191075,191075 (2002 CM208),191075,5.1923303732268,0.09800624891227389,31.76502415046656,232.758324068575,153.8266789278923,98.9820387182302,4321.573495195905,4.683449550233574,5.701211196220026,12.63,,,,TJN,N,N
20191078,191078 (2002 CE216),191078,5.216634477749305,0.05990432844498351,6.60225802096282,272.8151411220532,140.0560852187309,79.81051495684066,4351.951411743233,4.904135492616786,5.529133462881825,12.94,,,,TJN,N,N
20191088,191088 (2002 CP286),191088,5.205375747707576,0.0804570719294987,8.186851462356389,239.7324452069351,155.4875874256487,89.8628105173794,4337.870206770722,4.786566456754199,5.624185038660953,13.07,,,,TJN,N,N
20191089,191089 (2002 CS291),191089,5.173332441360084,0.1193270240644651,11.60387835612336,264.2107689299645,163.9164571437751,80.9898921866656,4297.87725235484,4.556014076636431,5.790650806083736,12.67,,,,TJN,N,N
20191102,191102 (2002 EW14),191102,5.182124549203757,0.03804443149350589,2.855401741862963,154.4526796306931,310.0482311909277,27.49372414393896,4308.838306325575,4.984973566800759,5.379275531606754,12.87,,,,TJN,N,N
20191103,191103 (2002 EF42),191103,5.207660505380257,0.06425256510880589,1.28645933983078,95.6801487314829,355.8581619181995,50.7102222659678,4340.726504810777,4.873054959693755,5.542266051066759,13.23,,,,TJN,N,N
20191104,191104 (2002 ET44),191104,5.185936522109328,0.1099423243614351,6.600844933153726,236.7638947429079,207.8321506374703,59.32484302983276,4313.593555338785,4.615782606877771,5.756090437340884,13.03,,,,TJN,N,N
20191107,191107 (2002 ER57),191107,5.120778505512819,0.05903265904289141,4.998947684104018,98.5744704061724,311.4723107311049,92.71159403490282,4232.553084609625,4.818485333962713,5.423071677062923,12.9,,,,TJN,N,N
20191108,191108 (2002 EX58),191108,5.183653843035941,0.07859000806059069,3.722919189308947,161.4596571073275,312.2699125482815,23.9228615619547,4310.745815276877,4.776270445728435,5.591037240343447,13.1,,,,TJN,N,N
20191114,191114 (2002 EB81),191114,5.25696649419683,0.03205768784773604,9.464895306905955,99.45666628425094,319.3834669388597,68.35177412481102,4402.519014697215,5.088440303299861,5.4254926850938,12.37,17.638,0.083,,TJN,N,N
20191115,191115 (2002 ES83),191115,5.260705858806994,0.1231405220701177,23.61141608763358,228.5719535220574,166.7465265925112,103.5662174857614,4407.217223541358,4.612899792896174,5.908511924717815,12.32,20.428,0.042,,TJN,N,N
